PLZ,Ort,Bundesland,gültig ab,gültig bis,NamePLZTyp,intern_extern,adressierbar,Postfach
6115,Kolsassberg,T,01.01.2009,,PLZ-Adressierung,extern,Ja,Nein
6116,Weer,T,01.12.2012,,PLZ-Adressierung,extern,Ja,Nein
6121,Baumkirchen,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6122,Fritzens,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6123,Terfens,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6130,Schwaz,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6131,Schwaz,T,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
6133,Weerberg,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6134,Vomp,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6135,Stans,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6136,Pill,T,01.07.2009,,PLZ-Adressierung,extern,Ja,Nein
6141,Schönberg im Stubaital,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6142,Mieders,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6143,Matrei am Brenner,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6145,Navis,T,01.10.2008,,PLZ-Adressierung,extern,Ja,Nein
6150,Steinach am Brenner,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6152,Trins,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6154,St. Jodok am Brenner,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6156,Gries am Brenner,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6157,Obernberg am Brenner,T,01.01.2008,,PLZ-Adressierung,extern,Ja,Nein
6161,Natters,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6162,Mutters,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6165,Telfes im Stubai,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6166,Fulpmes,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6167,Neustift im Stubaital,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6170,Zirl,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6173,Oberperfuss,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6175,Kematen in Tirol,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6176,Völs,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6177,Völs,T,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
6178,Unterperfuss,T,01.01.2009,,PLZ-Adressierung,extern,Ja,Nein
6179,Ranggen,T,09.10.2008,,PLZ-Adressierung,extern,Ja,Nein
6181,Sellrain,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6182,Gries im Sellrain,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6183,Kühtai,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6184,St. Sigmund,T,09.10.2008,,PLZ-Adressierung,extern,Ja,Nein
6200,Jenbach,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6202,Buch bei Jenbach,T,01.07.2010,,PLZ-Postfach,extern,Nein,Ja
6210,Wiesing,T,01.01.2007,,PLZ-Adressierung,extern,Ja,Nein
6212,Maurach,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6213,Pertisau,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6215,Achenkirch,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6220,Buch in Tirol,T,01.01.2011,,PLZ-Adressierung,extern,Ja,Nein
6222,Gallzein,T,01.06.2008,,PLZ-Adressierung,extern,Ja,Nein
6230,Brixlegg,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6232,Münster,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6233,Kramsach,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6234,Brandenberg,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6235,Reith im Alpbachtal,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6236,Alpbach,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6240,Rattenberg,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6241,Radfeld,T,01.07.2009,,PLZ-Adressierung,extern,Ja,Ja
6250,Kundl,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6252,Breitenbach am Inn,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6260,Bruck am Ziller,T,09.10.2008,,PLZ-Adressierung,extern,Ja,Nein
6261,Strass im Zillertal,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6262,Schlitters,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6263,Fügen,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6264,Fügenberg,T,01.01.2010,,PLZ-Adressierung,extern,Ja,Nein
6265,Hart im Zillertal,T,01.01.2008,,PLZ-Adressierung,extern,Ja,Nein
6271,Uderns,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6272,Kaltenbach,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
